date,headline,url
2013-12-13,"TASER Honored as One of the Best Medium-Sized Companies to Work for in 2014, a Glassdoor Employees' Choice Award",https://investor.axon.com/press-releases/press-release-details/2013/TASER-Honored-as-One-of-the-Best-Medium-Sized-Companies-to-Work-for-in-2014-a-Glassdoor-Employees-Choice-Award/default.aspx
2013-12-12,"Sanford Police Department Increases Transparency, Protecting Officers and Community With EVIDENCE.com",https://investor.axon.com/press-releases/press-release-details/2013/Sanford-Police-Department-Increases-Transparency-Protecting-Officers-and-Community-With-EVIDENCEcom/default.aspx
2013-12-10,TASER Announces $5.8 Million in International Weapons Orders,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Announces-58-Million-in-International-Weapons-Orders/default.aspx
2013-12-04,TASER Announces Multiple Significant Weapons Deployments,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Announces-Multiple-Significant-Weapons-Deployments/default.aspx
2013-11-06,Garland Police Department and Wisconsin State Patrol Purchase TASER Smart Weapons,https://investor.axon.com/press-releases/press-release-details/2013/Garland-Police-Department-and-Wisconsin-State-Patrol-Purchase-TASER-Smart-Weapons/default.aspx
2013-10-30,TASER Reports Record Quarterly Revenue of $35.2 Million,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Reports-Record-Quarterly-Revenue-of-352-Million/default.aspx
2013-10-17,New EVIDENCE Mobile App Simplifies Evidence Collection,https://investor.axon.com/press-releases/press-release-details/2013/New-EVIDENCE-Mobile-App-Simplifies-Evidence-Collection/default.aspx
2013-10-10,"Familiar, Inc. to Join EVIDENCE.com Team",https://investor.axon.com/press-releases/press-release-details/2013/Familiar-Inc-to-Join-EVIDENCEcom-Team/default.aspx
2013-10-08,Jefferson Parish and Maricopa County Upgrade to 1277 TASER Smart Weapons With TASER CAM HD Recorders,https://investor.axon.com/press-releases/press-release-details/2013/Jefferson-Parish-and-Maricopa-County-Upgrade-to-1277-TASER-Smart-Weapons-With-TASER-CAM-HD-Recorders/default.aspx
2013-10-07,"Albuquerque, Spokane and Brookfield Police Departments Purchase More Than 800 AXON Flex Cameras",https://investor.axon.com/press-releases/press-release-details/2013/Albuquerque-Spokane-and-Brookfield-Police-Departments-Purchase-More-Than-800-AXON-Flex-Cameras/default.aspx
2013-10-03,TASER Lowers Prices for EVIDENCE.com and AXON Police Cameras,https://investor.axon.com/press-releases/press-release-details/2013/TASER-Lowers-Prices-for-EVIDENCEcom-and-AXON-Police-Cameras/default.aspx
2013-10-01,TASER to Release Third Quarter 2013 Earnings on October 30,https://investor.axon.com/press-releases/press-release-details/2013/TASER-to-Release-Third-Quarter-2013-Earnings-on-October-30/default.aspx
2013-09-18,Greensboro Police Department Expands EVIDENCE.com Deployment With 170 AXON Cameras,https://investor.axon.com/press-releases/press-release-details/2013/Greensboro-Police-Department-Expands-EVIDENCEcom-Deployment-With-170-AXON-Cameras/default.aspx
